Disease,Symptoms
Fungal infection,"['dischromic patches', 'nodal skin eruptions', 'skin rash', 'itching']"
Allergy,"['shivering', 'watering from eyes', 'chills', 'continuous sneezing']"
GERD,"['stomach pain', 'chest pain', 'ulcers on tongue', 'vomiting', 'acidity', 'cough']"
Peptic ulcer diseae,"['indigestion', 'vomiting', 'abdominal pain', 'internal itching', 'passage of gases', 'loss of appetite']"
AIDS,"['patches in throat', 'extra marital contacts', 'muscle wasting', 'high fever']"
Diabetes ,"['obesity', 'irregular sugar level', 'increased appetite', 'restlessness', 'lethargy', 'fatigue', 'polyuria', 'weight loss', 'excessive hunger', 'blurred and distorted vision']"
Gastroenteritis,"['dehydration', 'vomiting', 'sunken eyes', 'diarrhea']"
Bronchial Asthma,"['family history', 'fatigue', 'breathlessness', 'high fever', 'mucoid sputum', 'cough']"
Hypertension ,"['dizziness', 'chest pain', 'lack of concentration', 'loss of balance', 'headache']"
Migraine,"['indigestion', 'depression', 'irritability', 'excessive hunger', 'visual disturbances', 'acidity', 'headache', 'stiff neck', 'blurred and distorted vision']"
Cervical spondylosis,"['dizziness', 'loss of balance', 'neck pain', 'weakness in limbs', 'back pain']"
Paralysis (brain hemorrhage),"['headache', 'altered sensorium', 'vomiting', 'weakness of one body side']"
Jaundice,"['itching', 'fatigue', 'vomiting', 'weight loss', 'yellowish skin', 'abdominal pain', 'high fever', 'dark urine']"
Dengue,"['muscle pain', 'chills', 'joint pain', 'fatigue', 'malaise', 'skin rash', 'pain behind the eyes', 'vomiting', 'back pain', 'high fever', 'headache', 'red spots over body', 'nausea', 'loss of appetite']"
Typhoid,"['chills', 'fatigue', 'diarrhea', 'vomiting', 'constipation', 'abdominal pain', 'high fever', 'headache', 'belly pain', 'toxic look typhos ', 'nausea']"
Hepatitis B,"['itching', 'lethargy', 'fatigue', 'malaise', 'receiving blood transfusion', 'loss of appetite', 'abdominal pain', 'yellowish skin', 'yellow urine', 'receiving unsterile injections', 'yellowing of eyes', 'dark urine']"
Tuberculosis,"['swelled lymph nodes', 'chills', 'fatigue', 'malaise', 'chest pain', 'breathlessness', 'blood in sputum', 'vomiting', 'weight loss', 'phlegm', 'high fever', 'sweating', 'mild fever', 'yellowing of eyes', 'cough', 'loss of appetite']"
Common Cold,"['swelled lymph nodes', 'chills', 'redness of eyes', 'runny nose', 'fatigue', 'malaise', 'chest pain', 'muscle pain', 'congestion', 'loss of smell', 'throat irritation', 'phlegm', 'high fever', 'headache', 'sinus pressure', 'cough', 'continuous sneezing']"
Pneumonia,"['chills', 'fatigue', 'malaise', 'chest pain', 'fast heart rate', 'breathlessness', 'rusty sputum', 'phlegm', 'high fever', 'sweating', 'cough']"
Dimorphic hemmorhoids(piles),"['irritation in anus', 'pain in anal region', 'constipation', 'bloody stool', 'pain during bowel movements']"
Heart attack,"['sweating', 'chest pain', 'vomiting', 'breathlessness']"
Varicose veins,"['prominent veins on calf', 'swollen legs', 'fatigue', 'bruising', 'cramps', 'swollen blood vessels', 'obesity']"
Hypothyroidism,"['depression', 'abnormal menstruation', 'lethargy', 'dizziness', 'fatigue', 'puffy face and eyes', 'mood swings', 'enlarged thyroid', 'irritability', 'brittle nails', 'swollen extremeties', 'cold hands and feets', 'weight gain']"
Hypoglycemia,"['fatigue', 'anxiety', 'drying and tingling lips', 'vomiting', 'irritability', 'excessive hunger', 'palpitations', 'sweating', 'headache', 'nausea', 'blurred and distorted vision', 'slurred speech']"
Osteoarthristis,"['swelling joints', 'joint pain', 'knee pain', 'neck pain', 'hip joint pain', 'painful walking']"
Arthritis,"['swelling joints', 'movement stiffness', 'muscle weakness', 'stiff neck', 'painful walking']"
Acne,"['skin rash', 'blackheads', 'pus filled pimples', 'scurring']"
Urinary tract infection,"['bladder discomfort', 'continuous feel of urine', 'foul smell of urine', 'burning micturition']"
Impetigo,"['blister', 'skin rash', 'yellow crust ooze', 'red sore around nose', 'high fever']"
